CVE_ENT,P8_2_1,P8_2_2,P8_2_3,P8_3_01,P8_3_02,P8_3_03,P8_3_04,P8_3_05,P8_3_06,P8_3_07,P8_3_08,P8_3_09,P8_3_10,P8_3_11,P8_3_12,P8_3_13,P8_3_14,P8_3_15,P8_3_16,P8_3_17,P8_3_18,P8_7,P8_9_1,P8_9_2,P8_9_3,P8_9_4,P8_9_5,P8_9_6,P8_9_7,FAC_PER,corrupcion,corrupcion_n,P7_47_1,P7_47_2,P7_47_3,P7_47_4,P7_47_5,P7_47_6,P7_49_1_2,P7_49_2_2,P7_49_3_2,P7_49_4_2,P7_49_5_2,P7_49_6_2,P7_49_1_3,P7_49_2_3,P7_49_3_3,P7_49_4_3,P7_49_5_3,P7_49_6_3,P7_49_1_4,P7_49_2_4,P7_49_3_4,P7_49_4_4,P7_49_5_4,P7_49_6_4,FAC_PER,inseguridad,inseguridad_n,P6_2,P6_3,P6_4,P6_6,P6_5_1,P6_13_1,P6_17_1,P6_5_2,P6_13_2,P6_17_2,P6_5_3,P6_13_3,P6_17_3,P6_5_4,P6_13_4,P6_17_4,P6_7_1,P6_9_1,P6_11_1,P6_15_1,P6_7_2,P6_9_2,P6_11_2,P6_15_2,P6_7_3,P6_9_3,P6_11_3,P6_15_3,FAC_PER,servicios,servicios_n,indice_enpol
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,47.05882352941172,0.0,10.294117647058814,11.76470588235293,5.882352941176466,1.4705882352941164,4.41176470588235,0.0,5.882352941176466,8.823529411764698,0.0,0.0,0.0,0.0,2.941176470588233,0.0,0.0,0.0,0.0,0.0,1.4705882352941164,1.4705882352941164,0.0,0.0,,101.47058823529403,0.5784818956915588,0.0,0.0,0.0,0.0,0.0,1.4705882352941164,17.647058823529395,0.0,0.0,88.23529411764703,0.0,0.0,2.941176470588233,0.0,0.0,74.99999999999993,10.294117647058814,13.235294117647046,0.0,1.4705882352941164,89.70588235294115,26.4705882352941,8.823529411764698,7.352941176470582,13.235294117647046,80.88235294117642,5.882352941176466,0.0,,442.64705882352916,0.12640456663059346,0.25667367160274224
2,0.6395977759304043,0.8128791652778191,0.8128791652778191,0.0,0.8128791652778191,0.0,0.0,0.8128791652778191,0.8128791652778191,0.0,0.0,0.0,0.0,0.0,0.0,0.8128791652778191,0.0,0.0,0.0,0.0,0.6395977759304043,1.4524769412082235,0.0,0.0,0.8128791652778191,0.0,0.0,0.0,0.0,,8.421826650013767,0.030879051246717453,19.682908793658225,3.2515166611112853,6.443420237100041,8.535494954238674,4.291732434838877,0.8128791652778213,0.8128791652778213,0.0,2.5523058000583485,0.8128791652778213,0.926547469502706,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,48.12256384634162,0.21108042191117313,7.955510263430786,7.0234049279079045,0.8128791652778201,0.0,0.0,17.477165772294683,75.26547995004141,0.0,0.6395977759304051,78.86964469351079,0.6395977759304051,3.078235271763865,64.69752336378666,0.0,2.2653561064860455,83.11340721291056,26.132414334421515,25.02650017190812,3.5445516583468555,4.87727499166692,67.65044716164219,37.106546784493645,8.195017479207106,15.851407441739044,25.247751476694603,79.21117704382858,7.3699677066027345,0.0,,642.0508585298227,0.4440601867979416,0.18559582662274454
3,16.787084530307304,11.351946838392376,11.351946838392376,0.0,0.0,0.0,2.5971509823168324,2.5971509823168324,2.837986709598094,0.0,0.0,0.0,8.513960128794281,5.435137691914926,0.0,0.0,2.5971509823168324,2.5971509823168324,0.0,5.675973419196188,5.675973419196188,13.949097820709211,2.5971509823168324,2.5971509823168324,2.5971509823168324,2.5971509823168324,2.5971509823168324,19.865906967186657,0.0,,124.8193732045391,0.4576565134785592,60.99069324747048,8.513960128794281,16.7870845303073,11.351946838392376,8.513960128794281,5.675973419196188,8.513960128794281,8.513960128794281,8.513960128794281,8.513960128794281,5.675973419196188,2.837986709598094,0.0,0.0,2.597150982316832,0.0,0.0,0.0,0.0,2.837986709598094,2.837986709598094,0.0,0.0,0.0,,162.67654333843933,1.0,0.0,8.513960128794281,2.837986709598094,2.837986709598094,5.675973419196188,2.837986709598094,10.62943965654859,0.0,0.0,94.3240265808038,0.0,66.90750239394792,52.235897391394936,5.675973419196188,5.675973419196188,85.81006645200954,19.865906967186657,19.62507123990539,5.675973419196188,8.27312440151302,85.81006645200954,41.36562200756509,13.949097820709207,39.49097820709204,13.949097820709207,57.91187081059112,24.81937320453906,0.0,,674.6989553408984,0.4960694837876747,0.6822765021489587
4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,25.034058894701676,2.8875231051498385,5.502575052686285,0.0,2.7512875263431424,0.0,0.0,0.0,2.7512875263431424,0.0,2.7512875263431424,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,41.678019631567224,0.16669761543481382,0.0,2.751287526343142,0.0,0.0,0.0,0.0,8.253862579029425,0.0,0.0,100.0,0.0,5.63881063149298,49.65941105298326,0.0,0.0,100.0,19.395248263208693,11.141385684179264,0.0,0.0,91.74613742097057,36.03920900007424,2.751287526343142,2.751287526343142,11.005150105372568,80.46851615798461,19.531483842015387,0.0,,541.1330773163405,0.2832954449800872,0.12333813516994296
5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,12.237021085190076,0.0,3.4906007714390737,0.0,0.0,0.0,0.0,0.0,1.7453003857195368,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,17.472922242348687,0.0,0.0,5.275737927465246,0.0,0.0,3.5105191565923914,0.0,91.23366130109565,1.7453003857195368,3.4906007714390737,96.48948084340759,0.0,0.0,50.91248696316632,1.7453003857195368,0.0,89.44852414506947,1.7652187708728548,0.0,1.7652187708728548,1.7652187708728548,41.98680118303547,3.4906007714390737,1.7652187708728548,10.531557469777173,0.0,91.25357968624895,1.7652187708728548,0.0,,499.94024484453973,0.21767415408917662,0.043534830817835324
6,2.000000000000001,2.000000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.000000000000001,0.0,0.0,0.0,2.000000000000001,0.0,12.000000000000002,2.000000000000001,,22.000000000000007,0.0806641071657149,44.0,4.000000000000002,4.000000000000002,6.000000000000002,4.000000000000002,0.0,2.000000000000001,0.0,4.000000000000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.000000000000001,0.0,0.0,0.0,0.0,,70.0,0.361747712358294,0.0,2.000000000000001,2.000000000000001,0.0,12.000000000000002,48.0,88.0,0.0,6.000000000000002,92.0,4.000000000000002,14.000000000000002,82.0,0.0,4.000000000000002,98.0,50.0,14.000000000000002,20.0,10.000000000000002,76.0,44.0,20.0,18.000000000000004,60.0,84.0,32.0,0.0,,880.0,0.8231195738975325,0.3415886425891101
7,0.0,0.0,1.521134625469459,0.0,0.0,0.0,0.0,0.0,1.521134625469459,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.521134625469459,0.0,0.0,0.0,1.521134625469459,9.126807752816756,6.084538501877836,9.126807752816756,4.563403876408377,3.042269250938918,1.521134625469459,0.0,,39.54950026220593,0.14501023306822944,30.021620385357327,3.4932131033964935,0.0,3.7446442996898672,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5211346254694593,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,38.78061241391315,0.14674351790072632,1.5211346254694593,11.474935609755786,4.195588152147442,1.9720784779270342,34.300336665701415,22.10005007387827,58.846236984127984,6.084538501877837,0.0,98.47886537453054,0.0,3.0422692509389186,93.2130864493712,10.28012665402528,7.237857403086359,94.0837645662189,28.984686012116367,14.14115548168271,9.010423224849195,18.704559358091092,59.16418097996321,39.3167312062708,9.829182801567706,61.51450366775837,16.732480880164058,57.15884610226525,36.97683700408284,1.5211346254694593,,799.8855901333376,0.6954951625873175,0.2558005329050458
8,3.424298260642008,4.275259954909998,5.977183343445979,0.0,0.0,0.0,0.8509616942679907,0.0,0.8509616942679907,0.8714131778380356,0.0,0.0,2.5528850828039724,1.7019233885359815,1.7019233885359815,3.403846777071963,1.7019233885359815,5.105770165607945,2.5528850828039724,1.7019233885359815,0.0,5.12622164917799,28.32715371368422,18.01335596461811,28.306702230114173,6.01808631058607,20.545789563852036,13.758547493278162,0.0,,156.76901571311453,0.5748014856248322,41.357448414114664,6.889499488424105,10.313797749066113,8.632325844100178,2.5528850828039724,0.8714131778380356,6.869048004854061,1.7223748721060264,4.295711438480043,5.146673132748035,1.7019233885359815,0.0,0.8509616942679907,0.8509616942679907,1.7019233885359815,0.8509616942679907,0.8509616942679907,0.8714131778380356,0.8509616942679907,0.8509616942679907,0.8509616942679907,0.8509616942679907,0.8509616942679907,0.0,,100.58509240785716,0.572383591663377,5.956731859875937,8.55051990982,2.552885082803973,0.0,5.997634827016027,0.0,25.127821772312725,0.0,0.850961694267991,51.83485803174111,1.701923388535982,0.8714131778380361,36.29258121564681,0.0,0.8714131778380361,57.62797802305669,13.71764452613808,2.5937880499440626,2.552885082803973,1.701923388535982,27.43528905227614,10.272894781926027,2.5937880499440626,11.16475944333411,6.828145037713973,75.86630030694542,10.334249232636164,0.0,,363.29838911295127,0.0,0.4588740309152838
9,12.745028082324847,2.847233345715914,2.847233345715914,0.0,2.6993985645297083,3.747032867225817,0.8997995215099028,1.0476343026961086,2.6993985645297083,1.7995990430198057,1.9474338242060112,7.346230953265429,0.8997995215099028,2.847233345715914,1.0476343026961086,3.747032867225817,1.9474338242060112,1.9474338242060112,2.847233345715914,0.0,0.8997995215099028,10.94542903930504,51.73207706962306,49.03267850509336,47.08524468088736,25.490056164649705,22.642822818933787,8.997995215099028,0.0,,272.7359264611161,1.0,43.02975141689642,4.498997607549509,3.8948676484120175,3.747032867225813,2.699398564529705,0.0,6.298596650569313,2.699398564529705,0.0,0.8997995215099018,1.7995990430198037,0.0,0.0,0.8997995215099018,1.0476343026961072,0.0,0.8997995215099018,0.0,0.8997995215099018,0.0,0.0,0.0,0.0,0.0,,73.314474751468,0.38457410419651544,4.498997607549514,9.89779473660893,1.0476343026961086,0.0,70.61507618693828,82.0295912385873,97.15276665428408,8.38107442156887,2.6993985645297083,98.95236569730389,2.095268605392217,13.792662385020957,74.06643949179168,10.476343026961086,8.393865255961536,95.35316761126427,24.442421861953598,27.14182042648331,12.140898123187355,3.5991980860396113,26.24202090497341,57.735004157819944,18.439494773756678,6.446431431755525,20.695388994727775,57.735004157819944,53.67951089382906,5.546631910245623,,893.2962715090503,0.844300892299398,0.7226898201384857
10,2.058492804230403,0.0,0.0,0.0,2.058492804230403,0.0,2.058492804230403,0.0,2.058492804230403,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.058492804230403,0.0,0.0,0.0,0.0,0.0,2.058492804230403,0.0,,12.350956825382417,0.04528540477098931,47.39558264398316,0.0,2.058492804230403,1.7722283948114945,3.8307211990418977,2.058492804230403,3.8307211990418977,0.0,2.058492804230403,1.7722283948114945,1.7722283948114945,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,66.54918863919265,0.33798238657124824,4.116985608460806,4.116985608460806,1.7722283948114945,1.7722283948114945,9.719935202314197,0.0,75.12983007118372,0.0,0.0,79.41507195769596,0.0,10.066605417383636,10.292464021152014,5.889214003272301,2.058492804230403,50.714180829837765,14.123185220193912,7.947706807502702,0.0,4.059383282743838,26.416539719859355,17.72804781546743,0.0,2.226749082281814,5.663355399503921,93.65626530925738,2.058492804230403,0.0,,428.94394775465537,0.10457514185926714,0.1742221449087485
